"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_y_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"2020Y",-3.2474575188346435,1.2157658252613892,9.9796772913879650,-25.2150250042709771,-8.5929559312205726,-2.5344463774727259,5.0861998181425321,7.7267366744727966,5.2466662225758887,5.4168116046598698,4.8778611493334338,-1.1197284605976492,15.2981422404227718,10.2920859729945473,18.9583971470191841,6.6214650311614118,27.7468598710457215,67.2415323759899621,53.2916669359982933,13.9498654399916617
"2021Y",11.1531142935473468,6.1081403341956246,12.1213057466131815,43.9752294923251057,7.6340029141837533,4.7772260231938191,1.1080972556476070,0.8186438960286395,3.5445147732907358,3.9395715244608311,4.7881671059108477,9.1029287972147763,15.0782963970243440,9.4320869459906262,19.0202626203390750,6.2620034026201363,27.9732511279924942,68.9637148850060413,53.8420385079887751,15.1216763770172697
"2022Y",8.1881883425275497,12.4262894436305018,-0.9968062853575717,9.8840477016568613,30.0967359149008793,18.0444530186905219,21.0035505004630068,13.8510806100414570,19.4851124467145809,5.2542373924615333,4.2967214509716705,-5.8823634279517272,12.7630048764480151,6.8875003899018585,18.2393080908024103,5.7800388290822369,25.3263021132544068,64.0974877577904465,47.9993524180261346,16.0981353397643190
"2023Y",8.2440467302438556,5.9287529532162822,4.1026128996247095,-16.7959788449034590,26.2315713414866671,2.6620817449972591,8.8091804663080495,14.2587580980179851,6.5261928246902414,17.7427923981699109,13.0243184382627462,2.7870446616192837,10.5410231042019618,6.0010005915335576,17.5059820251812042,4.2248818363982137,24.1255436265764871,68.8402611956392860,55.7368469288781796,13.1034142667611153
"2024Y",8.9173576153976057,8.8981893539098422,17.4401346549983742,23.8707469657115823,5.5787199332748116,10.4715704935541609,5.0934363757776993,4.7713295801997546,2.2050766398430923,10.0863659555974863,13.3743774921755403,11.6411791278656480,11.6385327956897093,7.4222263926588870,17.9055448313655958,4.4512563684017454,25.3693363199625495,75.8509157490306052,62.5690419135235487,13.2818738355070529
"2025Y",10.2998839074334079,11.6813485527805483,4.2534712061420770,12.5459925459045607,11.8927977831547835,10.1638252213598506,5.6426142061633158,6.1431744164513411,5.3889037869553587,5.7904928231961748,7.9085537665508134,1.6750695228044030,10.0999999999999996,7.0767964665782603,19.0000000000000000,5.4108078180351189,23.7564175642370365,75.2412975772212462,62.6162535599972756,12.6250440172239689
"2026Y",4.4888587264579272,3.5512690845877017,4.2941632577040814,5.6265874149734607,9.6102288380303094,5.6296923015341704,4.1882139257781716,5.0687607836004389,4.2435136516437231,4.1588237028812074,4.4742692622005897,0.0442435547290216,9.1500000000000004,6.6172997791611419,19.8499999999999979,5.4575988370483941,23.5683903246773916,77.5069024178025501,64.8734799510413040,12.6334224667612478
"2027Y",5.5137443795166092,4.6853661002314873,4.1245927087722016,4.4541548862200351,10.3052063226731612,5.0530661627039919,2.8139284983945885,3.1956538495305438,2.5532346244056154,2.8002223593878881,3.3852650219386433,2.4143366930431114,8.0999999999999996,5.5979562361975717,20.5500000000000007,5.4902972999554258,23.1588739036729123,78.6314802473204679,66.0622163444148214,12.5692639029056519
"2028Y",8.5941904814606325,7.4700162931931935,14.4449791338189328,6.5077457060179142,9.7089949013081203,9.6911401176988861,3.9494608668071152,3.3817232316653154,4.2708461322726379,1.6574179563683060,1.9735166581487249,1.0966854089290159,9.5921643291417613,7.0920365939041083,20.2960478962437492,5.4865686312620703,24.4122963946902551,78.0018068206509128,65.6942559220312745,12.3075508986196258
"2029Y",8.9538114274401686,8.8440092058150022,12.7573160759483173,7.7830842810455891,8.3097910074024242,10.3438898359034965,4.9436542394904421,4.6713878490718983,5.3113247564090242,1.8975856313131914,1.7355546817658158,-0.5918957871409809,9.9568886037173741,7.4568806202650197,20.7673770352897584,5.4772606366664878,25.2496012791039632,76.6574938226798395,64.6659059497117283,11.9915878729681111
