"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"2015Y",8.8422948082779236,12.1243937958299135,7.4914420479278823,27.6038118254376883,6.4875962781806908,23.0847012592222001,4.0522061669471254,2.5020278124229578,2.1928060893917518,7.2266725132042797,5.6399518169572946,-5.0602025851068788,10.6658712412722956,4.1573959233176536,17.6082488758103999,4.1855286679875112,24.1561275019895092,32.0274467438902448,25.0967021194999980,6.9307446243902442
"2016Y",6.0721047130096464,4.3099179112237538,-2.4505551881441630,29.8031557929006290,12.8392748954263283,7.6954028384607556,7.0238375647574403,5.7079781483874266,7.5699132718163593,10.0009452760211559,9.4129385054342549,-0.2856456630840472,8.4377886558150728,4.1580586009710636,17.9027884280395035,4.5364653564557358,22.1378774021582814,36.5719060388965502,29.4502715618296520,7.1216344770669009
"2017Y",3.9512049585310516,-0.8107053258895187,5.8804148415379816,-5.3967042481835179,42.4654311692442050,5.8135308822354350,2.1634184544065072,4.8917662520637784,4.2365528543372371,3.3041588100809927,5.4505653610537159,1.6832039462384096,9.1414717408468125,5.1509074181061605,17.9007968340969938,4.8720814741575156,22.4660903425538798,41.8502291624808009,34.7481987089395403,7.1020304535412606
"2018Y",8.5456670597387703,9.8041804703544564,12.9104910091577771,-6.5697591387788634,10.9444213240310795,8.1667483481893850,0.1991133596969785,1.3650556423547677,-1.9159796479470186,3.8466447263705517,3.5597146709848264,8.2193274344232883,9.4370386688572747,4.6312264837334949,18.9977205332217061,5.2864654916367906,23.3444476641585190,45.4146367711332815,38.0731628292195623,7.3414739419137147
"2019Y",9.4752601712366431,2.1237989783076339,15.8391386195496970,42.8604345891844076,19.4149773217415031,17.9903425451265377,5.9845740983155205,2.4322657033793660,5.7926276528856544,4.9156368491958258,4.5241704748740510,0.7026722230138810,12.0923603871135921,7.9562239833013528,19.0344784314231674,6.6258075240204413,24.5951195292160598,49.3312756735990945,41.8145220533540964,7.5167536202450034
"2020Y",-3.2860464075416735,1.3664135989399862,9.9408286570433368,-25.8978559919970479,-8.8254404211478423,-2.4891968632741124,5.0521248191485846,7.7397292768903112,5.2625514607772086,5.4168116048568526,4.8778611513534136,-2.6150877624551399,15.2834381360184075,10.2643091996704854,18.9787832330450499,6.5705776425112203,27.7791030454302259,63.5004347662277624,53.8852966611620943,9.6151381050656681
"2021Y",11.1229968316009789,6.5001112736170654,11.8920973811792585,45.0460497514909477,7.5610057490120957,5.6477996352682487,1.1606912113974355,0.8295762208389429,3.2610608200149311,3.9395715624751748,4.7881671144790303,10.2559055012604698,14.7085915220984411,9.0846249010358484,19.0848875664534816,5.9255818002881959,27.9805155200954374,75.9322798341515153,54.3950767963621473,21.5372030377893680
"2022Y",8.1624547564107921,12.6649218928799332,-0.4943554276968714,8.4634270391733928,30.1387553453983443,18.6493455609963554,21.1336681244684428,13.8610190139460361,19.8991457387000885,5.2542373907207507,4.2967214512873886,-7.4225434635042191,12.9721693303406393,7.1043380478242009,18.2357763475193551,5.8080199774880592,25.5088767647904504,64.1265180747138146,48.0200652857965764,16.1064527889172417
"2023Y",7.5720868308674687,3.2076877959048460,2.7605503869273638,9.0923256411831037,21.1958565882380370,3.2139970155350821,8.9460758709362267,14.2604175532096136,6.6941522889180334,17.7427923896817532,13.0243184356192323,0.7380520922828886,11.3716121965480461,6.6617978237444655,17.7863586324157978,5.0325475498024153,24.2114644029935278,69.5744648677915052,55.0020606076559062,14.5724042601356043
"2024Y",9.0100413072413588,10.9629698637326172,5.1172933279982793,19.8963468459660078,5.5992356846763265,10.0665333563357038,5.8298541062558229,7.0253561119877439,5.0253655417892551,6.0578027020205667,12.0570201592438160,9.0953104203877828,10.8250000000000028,7.5371015001954511,18.0475000000000065,5.6624151679789136,23.2308319075192635,70.2415387949966004,56.8725970373007357,13.3689417576958558
"2025Y",5.4380161377837837,6.2856990992462052,3.8513435787365751,4.6061200783383569,7.1940947474147059,6.9101206354920173,3.6593389650285673,4.0477644006009612,3.6415128489737509,2.8179725576128760,3.0744960685900402,0.8888216266527103,9.6427046732646264,6.6247110170268417,18.7106941212919082,5.5508924987966619,22.8426536524371642,72.2042235752174548,59.3676131641118374,12.8366104111056210
"2026Y",7.7270871333331250,7.4968675437604624,12.5791397263804754,7.3647558266334094,7.7652254247556591,10.2434063692185120,4.5807134353933918,4.1480827068595865,4.8378581376460783,2.5228282146547230,2.5617536922160582,0.3082334728134910,10.1170231188529094,7.1158985153380474,19.1796472485301805,5.4385495769541023,23.8618518143505334,72.6996233696722385,60.3733691743282037,12.3262541953440437
"2027Y",7.2227680024906213,7.5396471723448073,8.3949330136072753,7.6931117305731576,7.5355964414052075,9.0706800637090410,5.4662495923390537,5.1943046266988944,5.7798316335828952,2.9373904114479643,2.7575459405842331,-0.2975282116358251,10.0599255582445686,7.0598552705248894,19.4108507873414204,5.3522068788833339,24.1193585481806139,72.8610403426507816,60.9009191059070858,11.9601212367436869
"2028Y",6.8131087070826410,7.0383575801410778,6.9773484246592155,7.2783708147314030,7.5758145153128673,8.0580691614708897,5.5989235410344236,5.5990581112949513,5.5004139338438289,3.2770872661926944,3.1769382508766491,0.0512344197407444,9.8468040416145151,6.8467996486320359,19.5956623852798586,5.2870471206345240,24.1559220154608987,73.1443351912895992,61.3968911953009737,11.7474439959886325
