"Variables ->","obs_l_ystar_gap","obs_rstar_tnd","obs_l_cpistar","obs_l_enerstar","obs_l_foodstar","obs_l_rp_enerstar_gap","obs_l_rp_foodstar_gap","obs_istar","obs_l_s","obs_l_y","obs_l_y_agr","obs_l_cons","obs_l_inv","obs_l_gdem","obs_l_exp","obs_l_imp","obs_l_cpi","obs_l_cpi_food","obs_l_cpi_ener","obs_i","obs_prem_d","obs_l_md","obs_grants_y","obs_grev_y","obs_def_y"
"Comments ->","","combined CBO data & proj","","","","","","","","","","","","","","","","","","","","","","",""
"2005Q3",-0.4956341296784146,0.6500951292796616,20.2077888654965250,409.4185835151694164,465.5591638542490500,14.2491353910900216,-11.0514209826546335,3.8904316951435356,631.7954507127672059,726.6339385208145814,551.8616238723568586,702.5985857786287170,,,522.5866118175927113,595.2997901598120052,400.7728436062749893,377.2915709818495884,396.3537449709779708,9.0967430370187863,5.3479173994840234,543.1536308511475681,,,
"2005Q4",-0.3388278158692088,0.7061934586127191,18.7762933645024539,403.5023000685774832,464.5838167042443274,6.4575156858687137,-10.8117653537403839,4.4253221123654622,631.6675337191755943,728.8895111282751031,553.4632898462480171,699.4877551386913410,,,527.2801753905803253,587.0406961084129307,400.4419615889843271,371.3459087059464991,404.9742858572220712,9.0267182210171111,5.7232859641747371,546.1688269513646219,,,
"2006Q1",-0.0537121199849437,0.7518934952355824,17.3764287327884333,411.0118346547298529,469.0176598421109020,12.2017774361220859,-5.1946666274272388,4.7863385636498688,631.6914775859102065,672.2805871176110486,558.9590628638544558,655.1083379960819002,413.8121855402350775,513.2324298522960362,451.6267873960269412,518.2994675222303158,404.7408931061853536,381.1515930068945863,414.6749230772311421,8.7766647256778434,5.5929574666621011,550.0968889448299706,12.4840944423185007,,11.5913429423215995
"2006Q2",0.2408122988177297,0.7829481017594900,17.6817863170945735,422.4376513473035288,478.6138962374429298,20.3274209867145146,3.9000888275793955,5.1914484742198654,631.3628779733037391,680.4610528432386900,561.5893455976103041,657.7121757305467327,438.6880006239454133,525.7198136469398833,476.3896505197261604,534.1337047066012929,408.0773922799567117,390.2356430447969728,421.6607099460803738,8.0934617495999248,6.3886967042740608,559.2607098385650488,7.1362134794341996,,8.7112645509207507
"2006Q3",0.5496743121039671,0.7953857430402378,18.9374324599570336,423.1465853416262917,476.7054198943936854,16.9772166974676679,0.5841773479792209,5.3448503588170588,631.2260986486811589,684.0094175742493690,573.4444213204584457,663.8858998378791512,452.6601848232722887,520.3524094883302951,454.0018034854753637,529.4986724594912175,409.5303820350106321,394.7106844888144224,419.3348365484815190,7.6961041136128392,7.3439759531396929,565.4957940638388436,10.4092361149218995,,8.9200462412671602
"2006Q4",0.8776522837522194,0.7863497755418076,20.9797079005478295,407.7463456772720747,477.6174261893382891,-3.0691702623035440,-0.6321353094588744,5.2328974552316634,630.9936581089320953,684.1925240996670254,576.0379608502520341,665.9647489913918434,466.2096388600205614,507.3884008870242042,462.6082778322283957,532.6524958912381180,411.2907067774225993,396.2357092200845727,423.0821207263780934,7.1669286690359684,7.8444685154639124,571.5808490652733553,6.9355672448354300,,8.7014466590625101
"2007Q1",1.5141546844717340,0.7544551063299922,22.8129177924511914,404.8966237988060470,481.8590438423923388,-10.1586674931405696,1.7770204305198263,5.2241661212206409,630.6039301684759266,684.9180535561947636,566.5990936033407479,662.5703495133493561,456.2927113719929366,526.9461915181562972,492.4049235807613627,539.4521445153387731,415.9379889985447676,406.7251163573716894,419.9172599369951513,7.6312682849163513,7.1992373133975383,573.9961493597154458,6.1687954699415002,,10.8317445523901998
"2007Q2",1.9903306790303006,0.6991240825597783,24.2958066622292463,419.2045069439859617,486.1568225361336886,0.4566720560435442,4.7008908172223300,5.2328974552316634,630.3292680378898467,687.5295083159060141,567.9996213524129871,664.3050455047826972,456.1598100572993530,520.8394525484155793,501.6075582084116604,541.9204162018537545,416.4509734611291378,401.6585037556385487,419.8297127328139595,7.1669286690359684,7.5888277667255011,582.7253899812185409,15.4652777330699998,,12.4084745325050996
"2007Q3",2.3091202055061544,0.6213367163282898,26.0823593316135707,429.6617288515551536,488.9575589326564113,7.1205508093352705,5.9526181465338368,5.2288482357023600,630.6147602397663832,687.9919170291127557,572.2087738355407964,662.8678783904491638,456.1094824230402764,533.0974470849985209,496.6071896384286219,540.1334771450182188,417.3642883422399450,399.7170667374151662,421.9201850204413518,5.9086184125836718,8.9793485445485395,589.0502505646093141,6.5435590088413198,,10.2520769200936996
"2007Q4",2.4722192453030800,0.5233620151206108,28.8174577466288504,447.3893821346932214,496.9127842452502932,20.3148475209290496,11.5562440844808521,4.7864974408582821,630.1010478899972895,690.7940707603337387,574.2456507989323882,664.4772892361247614,478.6898809981430531,528.9263395072727008,501.6501660732578785,542.6045656285814403,418.6756055570736521,399.3499601397875267,424.2790720771693032,7.1421032228262380,7.6596593095543763,598.9718429816408616,6.5937832958443403,,9.1120217582768905
